year,stateFIPS,countyFIPS,PPCSTOT,TOTALEXP,TCURSPND
2010,8,8001.0,57366,840454,699730
2010,8,8003.0,19347,60756,27335
2010,8,8005.0,70899,1211781,994837
2010,8,8007.0,8411,13701,12904
2010,8,8009.0,65738,12341,10428
2010,8,8011.0,19271,9245,7973
2010,8,8013.0,17793,679787,518688
2010,8,8015.0,19694,23142,20258
2010,8,8017.0,33946,5170,4583
2010,8,8019.0,9923,12628,9869
2010,8,8021.0,29763,17024,15708
2010,8,8023.0,22983,16051,5444
2010,8,8025.0,8632,4538,4273
2010,8,8027.0,9231,4868,4540
2010,8,8029.0,7852,47760,44003
2010,8,8031.0,9930,1008396,798118
2010,8,8033.0,10430,3352,3035
2010,8,8035.0,7813,582564,468361
2010,8,8037.0,10606,91003,66261
2010,8,8039.0,59197,34649,30809
2010,8,8041.0,125271,1045413,926578
2010,8,8043.0,28111,50393,45168
2010,8,8045.0,26283,122359,97689
2010,8,8047.0,12166,5053,4392
2010,8,8049.0,20241,23601,18084
2010,8,8051.0,8586,55323,15610
2010,8,8053.0,14602,1513,1363
2010,8,8055.0,20433,10246,8690
2010,8,8057.0,11526,3551,2651
2010,8,8059.0,8857,891637,764401
2010,8,8061.0,35470,4406,4156
2010,8,8063.0,58473,14900,13758
2010,8,8065.0,9102,28472,20811
2010,8,8067.0,28543,74314,65655
2010,8,8069.0,26782,407025,365729
2010,8,8071.0,71776,29175,25289
2010,8,8073.0,27984,19012,13877
2010,8,8075.0,45875,35547,28198
2010,8,8077.0,29463,205652,186689
2010,8,8079.0,18119,2042,1830
2010,8,8081.0,8354,31545,21239
2010,8,8083.0,26281,38252,35242
2010,8,8085.0,18999,57256,54097
2010,8,8087.0,35235,51581,45449
2010,8,8089.0,61593,40957,34118
2010,8,8091.0,25889,11241,7582
2010,8,8093.0,44073,33539,32309
2010,8,8095.0,16999,14109,11771
2010,8,8097.0,12864,34018,21843
2010,8,8099.0,38936,26575,23487
2010,8,8101.0,15941,242770,226287
2010,8,8103.0,17058,39512,12191
2010,8,8105.0,24774,42701,18510
2010,8,8107.0,34719,42710,38595
2010,8,8109.0,39828,12686,11377
2010,8,8111.0,16848,1664,1112
2010,8,8113.0,24663,15336,13431
2010,8,8115.0,22923,11680,10131
2010,8,8117.0,10238,43498,31973
2010,8,8119.0,20202,33061,28891
2010,8,8121.0,62651,11868,10743
2010,8,8123.0,116541,344221,301698
2010,8,8125.0,46773,20353,17374
2010,20,20001.0,31901,25671,24155
2010,20,20003.0,20652,14568,13363
2010,20,20005.0,20288,26171,24245
2010,20,20007.0,22045,8668,8066
2010,20,20009.0,28425,42330,39529
2010,20,20011.0,19439,24527,22000
2010,20,20013.0,22718,18134,16495
2010,20,20015.0,86830,161439,124166
2010,20,20017.0,11463,5090,4803
2010,20,20019.0,24336,6248,6128
2010,20,20021.0,41713,40547,38689
2010,20,20023.0,26461,5715,5308
2010,20,20025.0,22431,6203,5636
2010,20,20027.0,8649,13156,12316
2010,20,20029.0,20884,15121,14473
2010,20,20031.0,34877,22029,18387
2010,20,20033.0,9757,3642,3376
2010,20,20035.0,53418,79400,59647
2010,20,20037.0,51156,69361,59091
2010,20,20039.0,11019,4440,4143
2010,20,20041.0,50087,90318,37099
2010,20,20043.0,23574,17291,16568
2010,20,20045.0,27708,173462,128641
2010,20,20047.0,25674,5711,5341
2010,20,20049.0,24818,8066,7221
2010,20,20051.0,30994,41796,36873
2010,20,20053.0,9789,15339,13761
2010,20,20055.0,19499,173812,81800
2010,20,20057.0,29900,74281,65222
2010,20,20059.0,40483,48658,44813
2010,20,20061.0,8823,92704,71718
2010,20,20063.0,53815,6770,6199
2010,20,20065.0,10804,5121,4289
2010,20,20067.0,8764,17784,15232
2010,20,20069.0,53942,17330,13659
2010,20,20071.0,11294,2681,2609
2010,20,20073.0,35636,11869,10976
2010,20,20075.0,10151,5795,5299
2010,20,20077.0,20999,18180,10927
2010,20,20079.0,45035,76048,54085
2010,20,20081.0,22796,13227,9731
2010,20,20083.0,11576,3803,3114
2010,20,20085.0,30405,26472,23523
2010,20,20087.0,62259,45228,39879
2010,20,20089.0,12228,4181,3815
2010,20,20091.0,54053,1178867,847243
2010,20,20093.0,26901,12191,10954
2010,20,20095.0,22952,14335,13111
2010,20,20097.0,26002,38587,4672
2010,20,20099.0,41828,44165,39634
2010,20,20101.0,25805,4559,4224
2010,20,20103.0,50210,202615,110520
2010,20,20105.0,25333,5928,5772
2010,20,20107.0,32524,24373,20189
2010,20,20109.0,25843,6237,5677
2010,20,20111.0,32808,62278,57165
2010,20,20113.0,49148,50271,43343
2010,20,20115.0,54710,25617,22459
2010,20,20117.0,31090,20920,18679
2010,20,20119.0,21911,8974,7122
2010,20,20121.0,26828,49381,45032
2010,20,20123.0,22969,13193,12746
2010,20,20125.0,36378,98227,51077
2010,20,20127.0,10704,15066,8167
2010,20,20129.0,21927,11352,9869
2010,20,20131.0,9022,32607,17897
2010,20,20133.0,21583,41241,23650
2010,20,20135.0,21089,5304,4808
2010,20,20137.0,24705,10082,9626
2010,20,20139.0,52841,30909,28426
2010,20,20141.0,11122,4315,3837
2010,20,20143.0,20805,14303,13020
2010,20,20145.0,26025,12568,12091
2010,20,20147.0,21274,9608,8886
2010,20,20149.0,37919,40383,35375
2010,20,20151.0,21872,15916,15120
2010,20,20153.0,12138,4654,3860
2010,20,20155.0,62148,109562,94854
2010,20,20157.0,21695,8747,8112
2010,20,20159.0,44698,28941,20071
2010,20,20161.0,31371,84218,69158
2010,20,20163.0,36964,12494,10033
2010,20,20165.0,24032,5965,5641
2010,20,20167.0,26687,12285,11851
2010,20,20169.0,28731,96526,81972
2010,20,20171.0,9619,10373,8898
2010,20,20173.0,84691,1005472,778163
2010,20,20175.0,19981,53998,49297
2010,20,20177.0,45641,323160,268957
2010,20,20179.0,10692,3862,3614
2010,20,20181.0,10181,9313,9084
2010,20,20183.0,26038,9110,8507
2010,20,20185.0,35400,11374,10598
2010,20,20187.0,10537,5406,5216
2010,20,20189.0,22713,27092,13266
2010,20,20191.0,75879,44164,40753
2010,20,20193.0,32876,13373,12613
2010,20,20195.0,10797,5031,4783
2010,20,20197.0,21430,11917,10915
2010,20,20199.0,25829,4125,3901
2010,20,20201.0,33085,12856,12189
2010,20,20203.0,10136,7173,4683
2010,20,20205.0,32105,18439,17491
2010,20,20207.0,11738,5224,5024
2010,20,20209.0,35981,336187,280688
2010,29,29001.0,28811,39208,27835
2010,29,29003.0,27688,25062,23910
2010,29,29005.0,31134,10604,9602
2010,29,29007.0,26296,33943,28658
2010,29,29009.0,65155,62211,55134
2010,29,29011.0,23309,18277,17318
2010,29,29013.0,64383,26491,24706
2010,29,29015.0,24057,24508,21618
2010,29,29017.0,31163,15396,14588
2010,29,29019.0,51568,235242,208633
2010,29,29021.0,36037,127780,118852
2010,29,29023.0,24871,58753,53717
2010,29,29025.0,95654,17930,16609
2010,29,29027.0,36309,49703,44745
2010,29,29029.0,39063,57800,50610
2010,29,29031.0,44727,92955,81413
2010,29,29033.0,49209,16777,15241
2010,29,29035.0,18056,13092,11522
2010,29,29037.0,91574,204268,163847
2010,29,29039.0,16518,20705,19171
2010,29,29041.0,42020,11680,11050
2010,29,29043.0,54604,127419,107822
2010,29,29045.0,22225,8926,8388
2010,29,29047.0,58749,437272,363040
2010,29,29049.0,28211,37342,32357
2010,29,29051.0,31020,105891,93722
2010,29,29053.0,58948,27994,24000
2010,29,29055.0,23826,33268,27339
2010,29,29057.0,36297,11314,10452
2010,29,29059.0,8128,17995,15749
2010,29,29061.0,60836,13672,12909
2010,29,29063.0,42955,11488,11198
2010,29,29065.0,43541,21223,17897
2010,29,29067.0,29568,16105,15060
2010,29,29069.0,59855,54803,51358
2010,29,29071.0,88104,161150,144541
2010,29,29073.0,16674,27344,24521
2010,29,29075.0,31708,14336,12235
2010,29,29077.0,59351,373533,313373
2010,29,29079.0,61517,15412,14003
2010,29,29081.0,55191,15585,15066
2010,29,29083.0,76723,28889,26730
2010,29,29085.0,37644,17760,15938
2010,29,29087.0,36552,7717,7284
2010,29,29089.0,24102,12517,11935
2010,29,29091.0,65067,71762,56831
2010,29,29093.0,36433,21126,19402
2010,29,29095.0,123220,1287338,1081969
2010,29,29097.0,56815,204663,161517
2010,29,29099.0,96945,359520,317949
2010,29,29101.0,61944,84300,69099
2010,29,29103.0,9333,5442,5295
2010,29,29105.0,33497,51303,47331
2010,29,29107.0,55170,60170,50239
2010,29,29109.0,49599,55109,50921
2010,29,29111.0,16859,16504,13442
2010,29,29113.0,30494,78214,66288
2010,29,29115.0,47671,24208,22839
2010,29,29117.0,30463,26004,22036
2010,29,29119.0,8615,35915,33308
2010,29,29121.0,60487,23262,21667
2010,29,29123.0,17556,17239,16742
2010,29,29125.0,16021,11719,11039
2010,29,29127.0,25936,46634,43835
2010,29,29129.0,20812,6203,5933
2010,29,29131.0,42415,50255,42943
2010,29,29133.0,16225,19463,18954
2010,29,29135.0,53552,25162,19570
2010,29,29137.0,52092,16979,14450
2010,29,29139.0,17493,16366,15550
2010,29,29141.0,18499,20272,19119
2010,29,29143.0,42710,31917,29173
2010,29,29145.0,38778,78820,65738
2010,29,29147.0,76737,32393,29487
2010,29,29149.0,34168,17478,16343
2010,29,29151.0,27149,14773,14301
2010,29,29153.0,48754,16930,15848
2010,29,29155.0,68181,50811,41816
2010,29,29157.0,14464,22801,21122
2010,29,29159.0,55742,67575,53953
2010,29,29161.0,34022,61121,56026
2010,29,29163.0,42891,28761,23928
2010,29,29165.0,43653,183134,159335
2010,29,29167.0,51744,50300,46455
2010,29,29169.0,49517,84394,77718
2010,29,29171.0,8903,8756,6868
2010,29,29173.0,7288,6403,5722
2010,29,29175.0,47486,40474,35960
2010,29,29177.0,34036,32815,30386
2010,29,29179.0,49784,13906,12697
2010,29,29181.0,34534,20516,18227
2010,29,29183.0,48466,642688,537904
2010,29,29185.0,37967,13478,12720
2010,29,29186.0,9227,20168,18939
2010,29,29187.0,41526,101448,89020
2010,29,29189.0,325262,2110856,1874769
2010,29,29195.0,92419,38179,33307
2010,29,29197.0,8444,8742,6013
2010,29,29199.0,32918,6745,6423
2010,29,29201.0,58649,59896,56185
2010,29,29203.0,19929,8659,8197
2010,29,29205.0,21070,12025,10802
2010,29,29207.0,61326,51466,41742
2010,29,29209.0,43506,45862,37795
2010,29,29211.0,33235,15022,11227
2010,29,29213.0,61729,72959,62376
2010,29,29215.0,61709,37760,34153
2010,29,29217.0,38925,30574,29370
2010,29,29219.0,16175,45721,36515
2010,29,29221.0,36192,34993,31601
2010,29,29223.0,16648,20816,16001
2010,29,29225.0,32074,40265,37911
