year,countyFIPS,stateFIPS,amount
2012,8001.0,8.0,705796
2012,8003.0,8.0,23953
2012,8005.0,8.0,999057
2012,8007.0,8.0,12981
2012,8009.0,8.0,8997
2012,8011.0,8.0,7111
2012,8013.0,8.0,523832
2012,8015.0,8.0,19886
2012,8017.0,8.0,4698
2012,8019.0,8.0,9962
2012,8021.0,8.0,14760
2012,8023.0,8.0,5562
2012,8025.0,8.0,3952
2012,8027.0,8.0,4074
2012,8029.0,8.0,40766
2012,8031.0,8.0,857395
2012,8033.0,8.0,3030
2012,8035.0,8.0,469515
2012,8037.0,8.0,63913
2012,8039.0,8.0,31608
2012,8041.0,8.0,884593
2012,8043.0,8.0,44240
2012,8045.0,8.0,93744
2012,8047.0,8.0,4624
2012,8049.0,8.0,17916
2012,8051.0,8.0,15435
2012,8053.0,8.0,1468
2012,8055.0,8.0,7637
2012,8057.0,8.0,2571
2012,8059.0,8.0,728218
2012,8061.0,8.0,3219
2012,8063.0,8.0,13524
2012,8065.0,8.0,15533
2012,8067.0,8.0,66105
2012,8069.0,8.0,382494
2012,8071.0,8.0,23334
2012,8073.0,8.0,13534
2012,8075.0,8.0,26540
2012,8077.0,8.0,175205
2012,8079.0,8.0,1496
2012,8081.0,8.0,22110
2012,8083.0,8.0,32462
2012,8085.0,8.0,47610
2012,8087.0,8.0,43349
2012,8089.0,8.0,32810
2012,8091.0,8.0,6678
2012,8093.0,8.0,16683
2012,8095.0,8.0,11840
2012,8097.0,8.0,23232
2012,8099.0,8.0,21211
2012,8101.0,8.0,215722
2012,8103.0,8.0,12156
2012,8105.0,8.0,17559
2012,8107.0,8.0,34093
2012,8109.0,8.0,11850
2012,8111.0,8.0,1138
2012,8113.0,8.0,12998
2012,8115.0,8.0,7272
2012,8117.0,8.0,34119
2012,8119.0,8.0,27119
2012,8121.0,8.0,10452
2012,8123.0,8.0,299951
2012,8125.0,8.0,16929
2012,20001.0,20.0,23887
2012,20003.0,20.0,12813
2012,20005.0,20.0,23337
2012,20007.0,20.0,7947
2012,20009.0,20.0,37958
2012,20011.0,20.0,20423
2012,20013.0,20.0,16222
2012,20015.0,20.0,123542
2012,20017.0,20.0,4018
2012,20019.0,20.0,5698
2012,20021.0,20.0,36710
2012,20023.0,20.0,5136
2012,20025.0,20.0,5512
2012,20027.0,20.0,12304
2012,20029.0,20.0,14226
2012,20031.0,20.0,17137
2012,20033.0,20.0,3651
2012,20035.0,20.0,56009
2012,20037.0,20.0,57442
2012,20039.0,20.0,4114
2012,20041.0,20.0,36614
2012,20043.0,20.0,16485
2012,20045.0,20.0,124399
2012,20047.0,20.0,5602
2012,20049.0,20.0,6421
2012,20051.0,20.0,35528
2012,20053.0,20.0,13341
2012,20055.0,20.0,79160
2012,20057.0,20.0,68869
2012,20059.0,20.0,43667
2012,20061.0,20.0,72803
2012,20063.0,20.0,6061
2012,20065.0,20.0,3991
2012,20067.0,20.0,14449
2012,20069.0,20.0,13337
2012,20071.0,20.0,2552
2012,20073.0,20.0,10802
2012,20075.0,20.0,5233
2012,20077.0,20.0,10999
2012,20079.0,20.0,52483
2012,20081.0,20.0,9518
2012,20083.0,20.0,3701
2012,20085.0,20.0,23141
2012,20087.0,20.0,38307
2012,20089.0,20.0,3735
2012,20091.0,20.0,803896
2012,20093.0,20.0,10474
2012,20095.0,20.0,12231
2012,20097.0,20.0,6384
2012,20099.0,20.0,37420
2012,20101.0,20.0,4062
2012,20103.0,20.0,107305
2012,20105.0,20.0,6746
2012,20107.0,20.0,20057
2012,20109.0,20.0,5686
2012,20111.0,20.0,51540
2012,20113.0,20.0,42578
2012,20115.0,20.0,21823
2012,20117.0,20.0,17437
2012,20119.0,20.0,6968
2012,20121.0,20.0,42332
2012,20123.0,20.0,12567
2012,20125.0,20.0,50494
2012,20127.0,20.0,7776
2012,20129.0,20.0,10666
2012,20131.0,20.0,19229
2012,20133.0,20.0,24422
2012,20135.0,20.0,5249
2012,20137.0,20.0,10120
2012,20139.0,20.0,28140
2012,20141.0,20.0,3817
2012,20143.0,20.0,12467
2012,20145.0,20.0,10992
2012,20147.0,20.0,8968
2012,20149.0,20.0,35427
2012,20151.0,20.0,14604
2012,20153.0,20.0,3637
2012,20155.0,20.0,91870
2012,20157.0,20.0,7814
2012,20159.0,20.0,19364
2012,20161.0,20.0,67348
2012,20163.0,20.0,9729
2012,20165.0,20.0,5620
2012,20167.0,20.0,10462
2012,20169.0,20.0,81778
2012,20171.0,20.0,9003
2012,20173.0,20.0,731968
2012,20175.0,20.0,50418
2012,20177.0,20.0,259630
2012,20179.0,20.0,3588
2012,20181.0,20.0,8978
2012,20183.0,20.0,8060
2012,20185.0,20.0,10743
2012,20187.0,20.0,5271
2012,20189.0,20.0,13015
2012,20191.0,20.0,38472
2012,20193.0,20.0,12064
2012,20195.0,20.0,3887
2012,20197.0,20.0,10800
2012,20199.0,20.0,3747
2012,20201.0,20.0,12426
2012,20203.0,20.0,4814
2012,20205.0,20.0,16751
