year,countyFIPS,stateFIPS,amount
2012,8001.0,8.0,60380
2012,8003.0,8.0,589
2012,8005.0,8.0,130866
2012,8007.0,8.0,1634
2012,8009.0,8.0,37
2012,8011.0,8.0,1596
2012,8013.0,8.0,52726
2012,8015.0,8.0,1630
2012,8017.0,8.0,65
2012,8019.0,8.0,3009
2012,8021.0,8.0,252
2012,8023.0,8.0,157
2012,8025.0,8.0,259
2012,8027.0,8.0,265
2012,8029.0,8.0,814
2012,8031.0,8.0,112010
2012,8033.0,8.0,354
2012,8035.0,8.0,39524
2012,8037.0,8.0,14623
2012,8039.0,8.0,4453
2012,8041.0,8.0,62986
2012,8043.0,8.0,3423
2012,8045.0,8.0,13997
2012,8047.0,8.0,3386
2012,8049.0,8.0,3099
2012,8051.0,8.0,2060
2012,8053.0,8.0,102
2012,8055.0,8.0,663
2012,8057.0,8.0,66
2012,8059.0,8.0,80097
2012,8063.0,8.0,181
2012,8065.0,8.0,788
2012,8067.0,8.0,21499
2012,8069.0,8.0,13964
2012,8071.0,8.0,1896
2012,8073.0,8.0,758
2012,8075.0,8.0,1314
2012,8077.0,8.0,20854
2012,8079.0,8.0,65
2012,8081.0,8.0,774
2012,8083.0,8.0,1771
2012,8085.0,8.0,7763
2012,8087.0,8.0,1421
2012,8089.0,8.0,1480
2012,8091.0,8.0,399
2012,8093.0,8.0,3709
2012,8095.0,8.0,238
2012,8097.0,8.0,4972
2012,8099.0,8.0,1176
2012,8101.0,8.0,40704
2012,8103.0,8.0,678
2012,8105.0,8.0,361
2012,8107.0,8.0,4102
2012,8109.0,8.0,383
2012,8111.0,8.0,46
2012,8113.0,8.0,2007
2012,8115.0,8.0,84
2012,8117.0,8.0,18483
2012,8119.0,8.0,4098
2012,8121.0,8.0,208
2012,8123.0,8.0,26747
2012,8125.0,8.0,277
2012,20001.0,20.0,1383
2012,20003.0,20.0,419
2012,20005.0,20.0,1303
2012,20007.0,20.0,75
2012,20009.0,20.0,2307
2012,20011.0,20.0,1104
2012,20013.0,20.0,156
2012,20015.0,20.0,3004
2012,20017.0,20.0,60
2012,20019.0,20.0,124
2012,20021.0,20.0,560
2012,20023.0,20.0,57
2012,20025.0,20.0,257
2012,20027.0,20.0,517
2012,20029.0,20.0,339
2012,20031.0,20.0,777
2012,20033.0,20.0,184
2012,20035.0,20.0,3836
2012,20037.0,20.0,2960
2012,20039.0,20.0,9
2012,20041.0,20.0,1034
2012,20043.0,20.0,36
2012,20045.0,20.0,13723
2012,20047.0,20.0,132
2012,20049.0,20.0,158
2012,20051.0,20.0,1904
2012,20053.0,20.0,163
2012,20055.0,20.0,2610
2012,20057.0,20.0,2030
2012,20059.0,20.0,155
2012,20061.0,20.0,2089
2012,20063.0,20.0,69
2012,20065.0,20.0,118
2012,20067.0,20.0,160
2012,20069.0,20.0,67
2012,20073.0,20.0,167
2012,20075.0,20.0,65
2012,20077.0,20.0,266
2012,20079.0,20.0,4810
2012,20081.0,20.0,70
2012,20083.0,20.0,26
2012,20085.0,20.0,220
2012,20087.0,20.0,13
2012,20089.0,20.0,27
2012,20091.0,20.0,63426
2012,20093.0,20.0,416
2012,20095.0,20.0,342
2012,20097.0,20.0,113
2012,20099.0,20.0,1162
2012,20101.0,20.0,91
2012,20103.0,20.0,4612
2012,20105.0,20.0,12
2012,20107.0,20.0,651
2012,20109.0,20.0,23
2012,20111.0,20.0,4643
2012,20113.0,20.0,1458
2012,20115.0,20.0,307
2012,20117.0,20.0,158
2012,20119.0,20.0,119
2012,20121.0,20.0,1730
2012,20123.0,20.0,57
2012,20125.0,20.0,2764
2012,20127.0,20.0,91
2012,20129.0,20.0,139
2012,20131.0,20.0,37
