,idcode,itemcode,amount,year,flag,stateFIPS,countyFIPS
182111,17000000000000,E36,1549254,2014,R,20.0,
182429,17101601600000,E36,23041,2014,R,20.0,20031.0
182674,17103003000000,E36,31984,2014,R,20.0,20059.0
182730,17103103100000,E36,42736,2014,I,20.0,20061.0
182782,17104204200000,E36,288,2014,I,20.0,20083.0
182893,17104704700000,E36,18146,2014,R,20.0,20093.0
182987,17105005000000,E36,54307,2014,R,20.0,20099.0
183080,17105505500000,E36,10486,2014,I,20.0,20109.0
183132,17105605600000,E36,49848,2014,R,20.0,20111.0
183319,17106506500000,E36,17540,2014,I,20.0,20129.0
183367,17106706700000,E36,36637,2014,I,20.0,20133.0
183481,17108408400000,E36,637,2014,I,20.0,20167.0
183652,17108808800000,E36,36136,2014,R,20.0,20175.0
183790,17109109100000,E36,436,2014,I,20.0,20181.0
183840,17109509500000,E36,14728,2014,I,20.0,20189.0
184160,17200400500000,E36,404,2014,R,20.0,20007.0
185051,17201800100000,E36,14790,2014,R,20.0,20035.0
185165,17201800700000,E36,22339,2014,I,20.0,20035.0
185698,17202300300000,E36,159608,2014,R,20.0,20045.0
191329,17209601200000,E36,15245,2014,S,20.0,20191.0
192019,17400400600000,E36,6179,2014,R,20.0,20007.0
192034,17400470100000,E36,7766,2014,R,20.0,20007.0
192086,17401300100000,E36,6100,2014,R,20.0,20025.0
192096,17401300300000,E36,9815,2014,R,20.0,20025.0
192185,17401970100000,E36,18685,2014,R,20.0,20037.0
192205,17402150300000,E36,24325,2014,R,20.0,20041.0
192352,17403940100000,E36,7126,2014,R,20.0,20077.0
192366,17403970200000,E36,7142,2014,R,20.0,20077.0
192390,17404100300000,E36,11744,2014,R,20.0,20081.0
192626,17405880300000,E36,7771,2014,R,20.0,20115.0
192651,17406000600000,E36,13875,2014,R,20.0,20119.0
192768,17406800100000,E36,8243,2014,R,20.0,20135.0
192780,17406800300000,E36,4770,2014,R,20.0,20135.0
192860,17408070100000,E36,13561,2014,I,20.0,20159.0
192893,17408201200000,E36,11770,2014,R,20.0,20163.0
193039,17409670300000,E36,4214,2014,I,20.0,20191.0
184998,17000000000000,E36,1450780,2013,R,20.0,
185148,17100100100000,E36,56,2013,R,20.0,20001.0
185413,17101601600000,E36,23497,2013,R,20.0,20031.0
185616,17103003000000,E36,28900,2013,R,20.0,20059.0
185678,17103103100000,E36,41371,2013,R,20.0,20061.0
185735,17103303300000,E36,7703,2013,R,20.0,20065.0
185859,17104704700000,E36,16126,2013,R,20.0,20093.0
185908,17105005000000,E36,51978,2013,R,20.0,20099.0
185957,17105605600000,E36,48545,2013,R,20.0,20111.0
186096,17106706700000,E36,35467,2013,R,20.0,20133.0
186398,17108808800000,E36,38035,2013,R,20.0,20175.0
186501,17109109100000,E36,422,2013,R,20.0,20181.0
186554,17109209200000,E36,198,2013,R,20.0,20183.0
186608,17109409400000,E36,17163,2013,R,20.0,20187.0
187942,17201800100000,E36,15675,2013,I,20.0,20035.0
188003,17201800700000,E36,23446,2013,I,20.0,20035.0
188412,17202100500000,E36,236,2013,R,20.0,20041.0
188688,17202300300000,E36,152718,2013,R,20.0,20045.0
194190,17209601200000,E36,13061,2013,I,20.0,20191.0
194768,17400400600000,E36,5381,2013,I,20.0,20007.0
194779,17400470100000,E36,8658,2013,I,20.0,20007.0
194850,17401300100000,E36,5533,2013,I,20.0,20025.0
194859,17401300300000,E36,10158,2013,I,20.0,20025.0
194922,17401970100000,E36,18836,2013,R,20.0,20037.0
194960,17402150300000,E36,23821,2013,R,20.0,20041.0
195063,17403940100000,E36,7089,2013,R,20.0,20077.0
195078,17403970200000,E36,7453,2013,R,20.0,20077.0
195092,17404100300000,E36,11915,2013,I,20.0,20081.0
195356,17405880300000,E36,7640,2013,R,20.0,20115.0
195384,17406000600000,E36,13664,2013,I,20.0,20119.0
195484,17406800100000,E36,8204,2013,I,20.0,20135.0
195503,17406800300000,E36,4549,2013,I,20.0,20135.0
195571,17408070100000,E36,13245,2013,I,20.0,20159.0
195614,17408201200000,E36,4583,2013,R,20.0,20163.0
195757,17409670300000,E36,4116,2013,I,20.0,20191.0
195789,17410100700000,E36,3380,2013,R,20.0,20201.0
484330,17000000000000,E36,1307938,2012,R,20.0,
484526,17100200200000,E36,65,2012,R,20.0,20003.0
485028,17101401400000,E36,13768,2012,R,20.0,20027.0
485114,17101601600000,E36,23174,2012,R,20.0,20031.0
485163,17101701700000,E36,4140,2012,R,20.0,20033.0
485301,17102002000000,E36,307,2012,R,20.0,20039.0
485464,17102402400000,E36,230,2012,R,20.0,20047.0
485580,17102702700000,E36,152,2012,R,20.0,20053.0
485719,17103003000000,E36,28564,2012,R,20.0,20059.0
485780,17103103100000,E36,40318,2012,R,20.0,20061.0
485828,17103203200000,E36,12046,2012,R,20.0,20063.0
485876,17103303300000,E36,7438,2012,R,20.0,20065.0
486238,17104204200000,E36,279,2012,R,20.0,20083.0
486360,17104504500000,E36,2132,2012,R,20.0,20089.0
486471,17104704700000,E36,18004,2012,R,20.0,20093.0
486616,17105005000000,E36,50231,2012,R,20.0,20099.0
