,idcode,itemcode,amount,year,flag,stateFIPS,countyFIPS
182114,17000000000000,E50,92843,2014,R,20.0,
182576,17102802800000,E50,1,2014,S,20.0,20055.0
182895,17104704700000,E50,62,2014,R,20.0,20093.0
183587,17108708700000,E50,1602,2014,R,20.0,20173.0
183746,17109009000000,E50,16,2014,I,20.0,20179.0
184046,17200200200000,E50,163,2014,I,20.0,20003.0
184111,17200300100000,E50,431,2014,R,20.0,20005.0
184353,17200600200000,E50,15,2014,I,20.0,20011.0
185114,17201800600000,E50,108,2014,I,20.0,20035.0
185167,17201800700000,E50,270,2014,I,20.0,20035.0
185301,17201900500000,E50,44,2014,I,20.0,20037.0
185360,17201900900000,E50,1663,2014,R,20.0,20037.0
185472,17202100100000,E50,147,2014,R,20.0,20041.0
185632,17202300200000,E50,169,2014,I,20.0,20045.0
185700,17202300300000,E50,1487,2014,R,20.0,20045.0
186901,17204600200000,E50,226,2014,I,20.0,20091.0
186941,17204600300000,E50,108,2014,I,20.0,20091.0
186996,17204600500000,E50,313,2014,I,20.0,20091.0
187129,17204600800000,E50,710,2014,R,20.0,20091.0
187498,17204650100000,E50,468,2014,R,20.0,20091.0
187548,17204700200000,E50,3,2014,I,20.0,20093.0
187762,17205000800000,E50,49,2014,I,20.0,20099.0
187853,17205200200000,E50,2014,2014,R,20.0,20103.0
187946,17205250100000,E50,249,2014,R,20.0,20103.0
188077,17205500100000,E50,2,2014,I,20.0,20109.0
188283,17205700700000,E50,79,2014,R,20.0,20113.0
188377,17205800900000,E50,154,2014,I,20.0,20115.0
188427,17205900300000,E50,148,2014,R,20.0,20117.0
188533,17206000200000,E50,24,2014,I,20.0,20119.0
188701,17206100400000,E50,164,2014,I,20.0,20121.0
188794,17206200200000,E50,29,2014,R,20.0,20123.0
188846,17206300300000,E50,110,2014,I,20.0,20125.0
189625,17207500900000,E50,5,2014,I,20.0,20149.0
190063,17208100200000,E50,1058,2014,R,20.0,20161.0
190209,17208400700000,E50,75,2014,R,20.0,20167.0
190274,17208500500000,E50,2106,2014,I,20.0,20169.0
190610,17208701000000,E50,3,2014,I,20.0,20173.0
190633,17208701200000,E50,111,2014,I,20.0,20173.0
190687,17208701400000,E50,39,2014,R,20.0,20173.0
190907,17208800200000,E50,463,2014,R,20.0,20175.0
191004,17208900300000,E50,4096,2014,R,20.0,20177.0
191819,17210500300000,E50,3443,2014,R,20.0,20209.0
192112,17401480100000,E50,651,2014,R,20.0,20027.0
192129,17401720100000,E50,59,2014,R,20.0,20033.0
192196,17402120200000,E50,1439,2014,I,20.0,20041.0
192232,17402360100000,E50,8034,2014,R,20.0,20045.0
192321,17403460100000,E50,1848,2014,I,20.0,20067.0
192415,17404420100000,E50,59,2014,R,20.0,20087.0
192469,17404630100000,E50,11445,2014,R,20.0,20091.0
192480,17404660200000,E50,3407,2014,R,20.0,20091.0
192521,17405216500000,E50,2140,2014,I,20.0,20103.0
192580,17405620100000,E50,6497,2014,R,20.0,20111.0
192608,17405820100000,E50,1982,2014,I,20.0,20115.0
192721,17406520100000,E50,1095,2014,I,20.0,20129.0
192801,17407216200000,E50,1319,2014,R,20.0,20143.0
192920,17408580100000,E50,1982,2014,R,20.0,20169.0
193011,17408970100000,E50,11164,2014,I,20.0,20177.0
193067,17410220100000,E50,2225,2014,I,20.0,20203.0
193128,17410550100000,E50,27100,2014,R,20.0,20209.0
185001,17000000000000,E50,86139,2013,R,20.0,
185563,17102802800000,E50,1,2013,R,20.0,20055.0
185861,17104704700000,E50,64,2013,R,20.0,20093.0
186336,17108708700000,E50,1576,2013,R,20.0,20173.0
186770,17200200200000,E50,171,2013,R,20.0,20003.0
186828,17200300100000,E50,354,2013,R,20.0,20005.0
187076,17200600200000,E50,16,2013,R,20.0,20011.0
187337,17200800300000,E50,81,2013,R,20.0,20015.0
187517,17200900200000,E50,10,2013,R,20.0,20017.0
188005,17201800700000,E50,283,2013,I,20.0,20035.0
188112,17201900500000,E50,46,2013,R,20.0,20037.0
188203,17201900900000,E50,1599,2013,R,20.0,20037.0
188317,17202100100000,E50,258,2013,R,20.0,20041.0
188621,17202300200000,E50,177,2013,R,20.0,20045.0
188690,17202300300000,E50,2843,2013,R,20.0,20045.0
189160,17203100100000,E50,280,2013,R,20.0,20061.0
189760,17204600200000,E50,237,2013,R,20.0,20091.0
189800,17204600300000,E50,113,2013,R,20.0,20091.0
189870,17204600500000,E50,328,2013,R,20.0,20091.0
190163,17204601300000,E50,2078,2013,R,20.0,20091.0
190348,17204650100000,E50,435,2013,R,20.0,20091.0
190397,17204700200000,E50,3,2013,R,20.0,20093.0
190560,17205000800000,E50,51,2013,R,20.0,20099.0
190609,17205100100000,E50,1,2013,R,20.0,20101.0
190757,17205250100000,E50,244,2013,R,20.0,20103.0
190900,17205500100000,E50,2,2013,R,20.0,20109.0
191106,17205700700000,E50,18,2013,R,20.0,20113.0
191206,17205800900000,E50,162,2013,R,20.0,20115.0
191317,17206000200000,E50,25,2013,R,20.0,20119.0
191445,17206100400000,E50,172,2013,R,20.0,20121.0
191540,17206200200000,E50,28,2013,R,20.0,20123.0
191674,17206300300000,E50,115,2013,I,20.0,20125.0
192569,17207500900000,E50,5,2013,R,20.0,20149.0
192950,17208100200000,E50,715,2013,R,20.0,20161.0
193077,17208200400000,E50,8,2013,R,20.0,20163.0
193177,17208500500000,E50,2210,2013,R,20.0,20169.0
193452,17208701000000,E50,3,2013,R,20.0,20173.0
193476,17208701200000,E50,117,2013,R,20.0,20173.0
193528,17208701400000,E50,30,2013,R,20.0,20173.0
193750,17208800200000,E50,436,2013,R,20.0,20175.0
193816,17208900300000,E50,5239,2013,R,20.0,20177.0
193872,17209100100000,E50,103,2013,R,20.0,20181.0
193919,17209200600000,E50,63,2013,R,20.0,20183.0
194296,17209800200000,E50,88,2013,R,20.0,20195.0
194338,17209900100000,E50,2,2013,R,20.0,20197.0
194374,17209900200000,E50,1,2013,R,20.0,20197.0
194597,17210500300000,E50,3782,2013,R,20.0,20209.0
194754,17400380100000,E50,1467,2013,R,20.0,20005.0
194790,17400560100000,E50,404,2013,R,20.0,20009.0
194820,17400960100000,E50,85,2013,R,20.0,20017.0
194873,17401480100000,E50,659,2013,R,20.0,20027.0
194976,17402360100000,E50,7692,2013,R,20.0,20045.0
194996,17402520100000,E50,7,2013,I,20.0,20049.0
195040,17402980100000,E50,1548,2013,R,20.0,20057.0
195206,17404630100000,E50,11551,2013,R,20.0,20091.0
195217,17404660200000,E50,3120,2013,R,20.0,20091.0
195467,17406760100000,E50,632,2013,R,20.0,20133.0
195517,17407216200000,E50,1324,2013,R,20.0,20143.0
195582,17408080100000,E50,65,2013,I,20.0,20159.0
195588,17408080300000,E50,257,2013,I,20.0,20159.0
195597,17408116400000,E50,1423,2013,R,20.0,20161.0
195605,17408160100000,E50,2560,2013,R,20.0,20161.0
195629,17408460200000,E50,19,2013,I,20.0,20167.0
195639,17408580100000,E50,1756,2013,R,20.0,20169.0
195721,17408970100000,E50,11015,2013,R,20.0,20177.0
195766,17409680200000,E50,248,2013,R,20.0,20191.0
195812,17410550100000,E50,21427,2013,R,20.0,20209.0
484333,17000000000000,E50,100429,2012,R,20.0,
486097,17103903900000,E50,70,2012,R,20.0,20077.0
486416,17104604600000,E50,527,2012,R,20.0,20091.0
488284,17108608600000,E50,200,2012,R,20.0,20171.0
488350,17108708700000,E50,950,2012,R,20.0,20173.0
488524,17109009000000,E50,15,2012,R,20.0,20179.0
489297,17200100400000,E50,2,2012,R,20.0,20001.0
489521,17200200200000,E50,341,2012,R,20.0,20003.0
489622,17200300100000,E50,405,2012,R,20.0,20005.0
490085,17200500600000,E50,3,2012,R,20.0,20009.0
490235,17200600200000,E50,168,2012,R,20.0,20011.0
490354,17200700100000,E50,33,2012,R,20.0,20013.0
490381,17200700200000,E50,6,2012,R,20.0,20013.0
490716,17200800300000,E50,57,2012,I,20.0,20015.0
492519,17201800600000,E50,117,2012,R,20.0,20035.0
492572,17201800700000,E50,279,2012,R,20.0,20035.0
492920,17201900900000,E50,1612,2012,R,20.0,20037.0
493090,17202100100000,E50,234,2012,R,20.0,20041.0
493540,17202300100000,E50,36,2012,R,20.0,20045.0
493594,17202300200000,E50,151,2012,R,20.0,20045.0
493661,17202300300000,E50,2437,2012,R,20.0,20045.0
494027,17202600200000,E50,425,2012,R,20.0,20051.0
495728,17203900600000,E50,9,2012,R,20.0,20077.0
496755,17204600200000,E50,251,2012,I,20.0,20091.0
496795,17204600300000,E50,92,2012,R,20.0,20091.0
496870,17204600500000,E50,296,2012,R,20.0,20091.0
496960,17204600700000,E50,47,2012,R,20.0,20091.0
497388,17204650100000,E50,102,2012,R,20.0,20091.0
497490,17204700200000,E50,3,2012,R,20.0,20093.0
497569,17204800200000,E50,10,2012,R,20.0,20095.0
498004,17205000800000,E50,81,2012,R,20.0,20099.0
498055,17205100100000,E50,4,2012,R,20.0,20101.0
498131,17205200200000,E50,3007,2012,R,20.0,20103.0
498257,17205250100000,E50,251,2012,R,20.0,20103.0
498648,17205500100000,E50,2,2012,I,20.0,20109.0
499137,17205700500000,E50,5,2012,R,20.0,20113.0
499230,17205700700000,E50,8,2012,R,20.0,20113.0
499512,17205800900000,E50,75,2012,R,20.0,20115.0
500093,17206100400000,E50,167,2012,R,20.0,20121.0
500172,17206200200000,E50,27,2012,R,20.0,20123.0
500212,17206200300000,E50,7,2012,R,20.0,20123.0
500429,17206300300000,E50,113,2012,R,20.0,20125.0
501702,17207000600000,E50,8,2012,I,20.0,20139.0
503442,17207900300000,E50,52,2012,R,20.0,20157.0
503799,17208100100000,E50,87,2012,I,20.0,20161.0
503844,17208100200000,E50,1257,2012,R,20.0,20161.0
504025,17208200300000,E50,122,2012,R,20.0,20163.0
504074,17208200400000,E50,9,2012,R,20.0,20163.0
504474,17208400700000,E50,217,2012,R,20.0,20167.0
504647,17208500500000,E50,3798,2012,R,20.0,20169.0
505167,17208701200000,E50,82,2012,R,20.0,20173.0
505255,17208701400000,E50,27,2012,R,20.0,20173.0
505562,17208800200000,E50,590,2012,R,20.0,20175.0
505698,17208900300000,E50,2307,2012,R,20.0,20177.0
506026,17209200600000,E50,61,2012,R,20.0,20183.0
506181,17209300600000,E50,6,2012,R,20.0,20185.0
