year,countyFIPS,stateFIPS,amount
2012,8001.0,8.0,104567
2012,8003.0,8.0,5027
2012,8005.0,8.0,153331
2012,8007.0,8.0,1911
2012,8009.0,8.0,951
2012,8011.0,8.0,2684
2012,8013.0,8.0,111654
2012,8014.0,8.0,15640
2012,8015.0,8.0,3517
2012,8017.0,8.0,425
2012,8019.0,8.0,5047
2012,8021.0,8.0,969
2012,8023.0,8.0,594
2012,8025.0,8.0,560
2012,8027.0,8.0,734
2012,8029.0,8.0,5428
2012,8031.0,8.0,225208
2012,8033.0,8.0,372
2012,8035.0,8.0,54908
2012,8037.0,8.0,18961
2012,8039.0,8.0,1861
2012,8041.0,8.0,149239
2012,8043.0,8.0,9571
2012,8045.0,8.0,18060
2012,8047.0,8.0,6097
2012,8049.0,8.0,5572
2012,8051.0,8.0,4983
2012,8053.0,8.0,297
2012,8055.0,8.0,882
2012,8057.0,8.0,423
2012,8059.0,8.0,162865
2012,8061.0,8.0,540
2012,8063.0,8.0,1645
2012,8065.0,8.0,1440
2012,8067.0,8.0,14253
2012,8069.0,8.0,67474
2012,8071.0,8.0,3167
2012,8073.0,8.0,1124
2012,8075.0,8.0,3403
2012,8077.0,8.0,54151
2012,8079.0,8.0,153
2012,8081.0,8.0,5033
2012,8083.0,8.0,9542
2012,8085.0,8.0,13197
2012,8087.0,8.0,4802
2012,8089.0,8.0,2061
2012,8091.0,8.0,1100
2012,8093.0,8.0,3035
2012,8095.0,8.0,1100
2012,8097.0,8.0,10341
2012,8099.0,8.0,4534
2012,8101.0,8.0,37369
2012,8103.0,8.0,4047
2012,8105.0,8.0,2686
2012,8107.0,8.0,5852
2012,8109.0,8.0,1003
2012,8111.0,8.0,516
2012,8113.0,8.0,4232
2012,8115.0,8.0,470
2012,8117.0,8.0,10384
2012,8119.0,8.0,6597
2012,8121.0,8.0,834
2012,8123.0,8.0,58807
2012,8125.0,8.0,2425
2012,20001.0,20.0,2044
2012,20003.0,20.0,1079
2012,20005.0,20.0,2902
2012,20007.0,20.0,928
2012,20009.0,20.0,3928
2012,20011.0,20.0,2011
2012,20013.0,20.0,1450
