countyFIPS,Group,Weight
8125,1,0.46875
31157,1,0.53125
8063,2,1
8063,3,0.204432683
8017,3,0.795567317
8017,4,0.172207447
8061,4,0.827792553
8099,5,1
8099,6,0.270850537
8009,6,0.729149463
8009,7,0.501393793
40139,7,0.498606207
40139,8,1
40139,9,0.270667226
40007,9,0.729332774
40007,10,1
40059,11,1
40059,12,0.176201373
40151,12,0.823798627
40151,13,0.704544444
40003,13,0.295455556
40003,14,0.422591362
40053,14,0.577408638
40053,15,0.514522822
40071,15,0.485477178
40071,16,0.627320186
40113,16,0.372679814
40113,17,1
40147,18,0.390823433
40105,18,0.609176567
40105,19,0.2545676
40035,19,0.7454324
40115,20,0.52194617
29097,20,0.47805383
29011,21,1
29217,22,1
29013,23,1
29013,24,0.252997106
29037,24,0.747002894
29037,25,0.346590909
29095,25,0.653409091
29165,26,1
29165,27,1
29165,28,0.5
29021,28,0.5
29021,29,1
31147,30,1
31147,31,0.490416667
31133,31,0.509583333
31133,32,0.3910299
31067,32,0.6089701
31067,33,0.189
31095,33,0.811
31169,34,0.795333333
31129,34,0.204666667
31129,35,0.588936734
31181,35,0.411063266
31181,36,0.393
31061,36,0.607
31061,37,0.2
31083,37,0.8
31065,38,1
31145,39,1
31087,40,1
