countyFIPS,year,proprietors,prop_percap,prop_growth,str,imtr,cmtr,KPost2012,qtryr,pop10,tt_CO,tt_KS,tt_MO,tt_NE,tt_OK
8001,2010,40124,0.090434344,,2.9,4.63,4.63,0,2010.1,44.3681,7,0,0,0,0
8001,2011,42147,0.093237324,0.050418702,2.9,4.63,4.63,0,2011.1,45.204,8,0,0,0,0
8001,2012,42398,0.092075088,0.005955347,2.9,4.63,4.63,0,2012.1,46.0472,9,0,0,0,0
8001,2013,43892,0.093365978,0.035237511,2.9,4.63,4.63,0,2013.1,47.0107,10,0,0,0,0
8001,2014,45903,0.095542475,0.045817005,2.9,4.63,4.63,0,2014.1,48.0446,11,0,0,0,0
8003,2010,2188,0.137376782,-0.95233427,2.9,4.63,4.63,0,2010.1,1.5927,7,0,0,0,0
8003,2011,2163,0.134039784,-0.01142596,2.9,4.63,4.63,0,2011.1,1.6137,8,0,0,0,0
8003,2012,2061,0.127687256,-0.047156727,2.9,4.63,4.63,0,2012.1,1.6141,9,0,0,0,0
8003,2013,2154,0.132529379,0.045123726,2.9,4.63,4.63,0,2013.1,1.6253,10,0,0,0,0
8003,2014,2169,0.133198231,0.006963788,2.9,4.63,4.63,0,2014.1,1.6284,11,0,0,0,0
8005,2010,86386,0.150292718,38.82757031,2.9,4.63,4.63,0,2010.1,57.4785,7,0,0,0,0
8005,2011,89849,0.153368861,0.040087514,2.9,4.63,4.63,0,2011.1,58.5836,8,0,0,0,0
8005,2012,91143,0.152907564,0.014401941,2.9,4.63,4.63,0,2012.1,59.6066,9,0,0,0,0
8005,2013,94748,0.15592272,0.03955323,2.9,4.63,4.63,0,2013.1,60.766,10,0,0,0,0
8005,2014,97716,0.158037997,0.031325199,2.9,4.63,4.63,0,2014.1,61.8307,11,0,0,0,0
8007,2010,3737,0.309995852,-0.961756519,2.9,4.63,4.63,0,2010.1,1.2055,7,0,0,0,0
8007,2011,3681,0.30646907,-0.014985282,2.9,4.63,4.63,0,2011.1,1.2011,8,0,0,0,0
8007,2012,3834,0.316519442,0.041564792,2.9,4.63,4.63,0,2012.1,1.2113,9,0,0,0,0
8007,2013,3715,0.304658029,-0.03103808,2.9,4.63,4.63,0,2013.1,1.2194,10,0,0,0,0
8007,2014,3823,0.312617548,0.029071332,2.9,4.63,4.63,0,2014.1,1.2229,11,0,0,0,0
8009,2010,1240,0.327176781,-0.675647397,2.9,4.63,4.63,0,2010.1,0.379,7,0,0,0,0
8009,2011,1267,0.332197168,0.021774194,2.9,4.63,4.63,0,2011.1,0.3814,8,0,0,0,0
8009,2012,1212,0.322169059,-0.043409629,2.9,4.63,4.63,0,2012.1,0.3762,9,0,0,0,0
8009,2013,1268,0.344378055,0.04620462,2.9,4.63,4.63,0,2013.1,0.3682,10,0,0,0,0
8009,2014,1197,0.329752066,-0.055993691,2.9,4.63,4.63,0,2014.1,0.363,11,0,0,0,0
8011,2010,596,0.091579594,-0.502088555,2.9,4.63,4.63,0,2010.1,0.6508,7,0,0,0,0
8011,2011,604,0.095539386,0.013422819,2.9,4.63,4.63,0,2011.1,0.6322,8,0,0,0,0
8011,2012,604,0.103940802,0,2.9,4.63,4.63,0,2012.1,0.5811,9,0,0,0,0
8011,2013,638,0.111188567,0.056291391,2.9,4.63,4.63,0,2013.1,0.5738,10,0,0,0,0
8011,2014,594,0.102768166,-0.068965517,2.9,4.63,4.63,0,2014.1,0.578,11,0,0,0,0
8013,2010,62460,0.211025633,104.1515152,2.9,4.63,4.63,0,2010.1,29.5983,7,0,0,0,0
8013,2011,64577,0.214829157,0.033893692,2.9,4.63,4.63,0,2011.1,30.0597,8,0,0,0,0
8013,2012,65119,0.213260193,0.008393081,2.9,4.63,4.63,0,2012.1,30.535,9,0,0,0,0
8013,2013,66668,0.214859147,0.02378722,2.9,4.63,4.63,0,2013.1,31.0287,10,0,0,0,0
8013,2014,69281,0.221200879,0.039194216,2.9,4.63,4.63,0,2014.1,31.3204,11,0,0,0,0
8014,2010,8979,0.159555753,-0.870397367,2.9,4.63,4.63,0,2010.1,5.6275,7,0,0,0,0
8014,2011,9314,0.162194166,0.037309277,2.9,4.63,4.63,0,2011.1,5.7425,8,0,0,0,0
8014,2012,9310,0.157984049,-0.000429461,2.9,4.63,4.63,0,2012.1,5.893,9,0,0,0,0
8014,2013,9640,0.160356644,0.035445757,2.9,4.63,4.63,0,2013.1,6.0116,10,0,0,0,0
8014,2014,10573,0.171122908,0.096784232,2.9,4.63,4.63,0,2014.1,6.1786,11,0,0,0,0
8015,2010,3699,0.207773971,-0.6501466,2.9,4.63,4.63,0,2010.1,1.7803,7,0,0,0,0
8015,2011,3768,0.209251958,0.01865369,2.9,4.63,4.63,0,2011.1,1.8007,8,0,0,0,0
8015,2012,3870,0.213753107,0.027070064,2.9,4.63,4.63,0,2012.1,1.8105,9,0,0,0,0
8015,2013,3917,0.213833388,0.012144703,2.9,4.63,4.63,0,2013.1,1.8318,10,0,0,0,0
8015,2014,4055,0.219807025,0.035231044,2.9,4.63,4.63,0,2014.1,1.8448,11,0,0,0,0
